Rate	0	0.001	0.005	0.01	0.02	0.03	0.04	0.05	0.1	0.12	0.15	GPTQ	AWQ
Size (%)	45.24	45.22	45.01	44.04	40.5	36.53	32.61	28.96	12.07	6.79	2.73		
mmlu/acc	0.680814699	0.680601054	0.681170773	0.681028344	0.680529839	0.680244979	0.681313203	0.683022361	0.656957698	0.652471158	0.643498077	0.6402	0.6665
mmlu_humanities/acc	0.643995749	0.644208289	0.646333688	0.645696068	0.64357067	0.641445271	0.64272051	0.64272051	0.594048884	0.590435707	0.581934113	0.5819	0.623
mmlu_other/acc	0.745735436	0.744448021	0.744769874	0.744126167	0.743482459	0.743804313	0.745091728	0.745091728	0.730608304	0.722240103	0.718056003	0.7187	0.7361
mmlu_social_sciences/acc	0.769255769	0.76958076	0.768930777	0.768930777	0.76958076	0.770230744	0.771855704	0.772505687	0.76438089	0.761455964	0.750081248	0.7364	0.7543
mmlu_stem/acc	0.585474152	0.585156993	0.584839835	0.58579131	0.586742785	0.587694259	0.587694259	0.594671741	0.573422138	0.569933397	0.557881383	0.5557	0.5772
ifeval/prompt_strict_acc	0.425138632	0.421441774	0.421441774	0.430683919	0.41219963	0.402957486	0.410351201	0.390018484	0.195933457	0.157116451	0.151571165	0.4011	0.4677
ifeval/inst_strict_acc	0.573141487	0.568345324	0.565947242	0.579136691	0.56235012	0.553956835	0.564748201	0.533573141	0.32853717	0.294964029	0.286570743	0.5516	0.6103
ifeval/prompt_loose_acc	0.473197782	0.456561922	0.452865065	0.487985213	0.467652495	0.449168207	0.445471349	0.421441774	0.208872458	0.160813309	0.15896488	0.4381	0.5287
ifeval/inst_loose_acc	0.60911271	0.594724221	0.591127098	0.623501199	0.604316547	0.588729017	0.588729017	0.561151079	0.346522782	0.299760192	0.294964029	0.5839	0.6583
gsm8k/acc	0.753601213	0.751326763	0.755875663	0.748294162	0.727065959	0.714935557	0.73009856	0.73161486	0.684609553	0.613343442	0.554207733	0.6702	0.7293
Mtbench	8.248	8.3924	8.2644	8.2611	8.1699	8.2631	8.2931	8.2335	7.7937	6.8521	5.5335	8.1032	8.2166
